tm,DVm,PVm
1.880000000000000000e+02,1.000000000000000000e+00,3.617250000000001853e-01
1.890000000000000000e+02,1.000000000000000000e+00,3.625250000000000972e-01
1.900000000000000000e+02,1.000000000000000000e+00,3.641500000000000847e-01
1.910000000000000000e+02,1.000000000000000000e+00,3.689749999999996644e-01
1.920000000000000000e+02,1.000000000000000000e+00,3.698000000000000176e-01
1.930000000000000000e+02,1.000000000000000000e+00,3.698000000000000176e-01
1.940000000000000000e+02,1.000000000000000000e+00,3.705999999999995964e-01
1.950000000000000000e+02,1.000000000000000000e+00,3.754249999999995646e-01
1.960000000000000000e+02,1.000000000000000000e+00,3.778500000000001302e-01
1.970000000000000000e+02,1.000000000000000000e+00,3.786500000000000421e-01
1.980000000000000000e+02,1.000000000000000000e+00,3.794499999999995654e-01
1.990000000000000000e+02,1.000000000000000000e+00,3.826750000000000429e-01
2.000000000000000000e+02,1.000000000000000000e+00,3.859000000000001873e-01
2.010000000000000000e+02,1.000000000000000000e+00,3.859000000000001873e-01
2.020000000000000000e+02,1.000000000000000000e+00,3.859000000000001873e-01
2.030000000000000000e+02,1.000000000000000000e+00,3.859000000000001873e-01
2.040000000000000000e+02,1.000000000000000000e+00,3.915500000000001757e-01
2.050000000000000000e+02,1.000000000000000000e+00,3.931499999999996109e-01
2.060000000000000000e+02,1.000000000000000000e+00,3.939499999999995228e-01
2.070000000000000000e+02,1.000000000000000000e+00,3.939499999999995228e-01
2.080000000000000000e+02,1.000000000000000000e+00,3.955750000000001765e-01
2.090000000000000000e+02,1.000000000000000000e+00,3.979749999999995791e-01
2.100000000000000000e+02,1.000000000000000000e+00,4.004000000000001447e-01
